test case, start position(mm), target position(mm), test cycle, forward time avg(s), backward time avg(s)
BAY 1 to BAY 2, 0, 2515, 10, 5.103228068351745, 5.092620897293091
BAY 1 to BAY 3, 0, 5030, 10, 6.969263672828674, 6.982006096839905
BAY 1 to BAY 4, 0, 7545, 10, 8.666241145133972, 8.625912833213807
BAY 1 to BAY 5, 0, 10060, 10, 10.310930967330933, 10.306703424453735
BAY 1 to BAY 6, 0, 12575, 10, 12.033349895477295, 12.013925671577454
BAY 1 to BAY 7, 0, 15090, 10, 13.690689444541931, 13.672924184799195
BAY 1 to BAY 8, 0, 17605, 10, 15.317871785163879, 15.330312085151672
BAY 1 to BAY 9, 0, 20120, 10, 17.016468596458434, 17.006366109848024
